ASK_Artikelnummer,ASK_Beschreibung,Syskomp_Artikelnummer,Syskomp_Beschreibung
20102011,PROFIL 45X45L 1N NUT 10 LE1X6060,411506956,Aluminiumprofil 45x45L 1N
20102020,PROFIL 45X45L 2N90 NUT 10 ZUSCHNITT,411992402,Aluminiumprofil 45x45L 2NVS
20102021,PROFIL 45X45L 2N90 NUT 10 LE1X6060,411506957,Aluminiumprofil 45x45L 2NVS
20102030,PROFIL 45X45L 3N NUT 10 ZUSCHNITT,411992404,Aluminiumprofil 45x45L 3N
20102031,PROFIL 45X45L 3N NUT 10 LE1X6060,411506959,Aluminiumprofil 45x45L 3N
20102033,PROFIL 45X45L 3N NUT 10 LE1X3060,411992404,Aluminiumprofil 45x45L 3N
20102040,PROFIL 45X45L 2N180 NUT 10 ZUSCHNITT,411992403,Aluminiumprofil 45x45L 2N
20102041,PROFIL 45X45L 2N180 NUT 10 LE1X6060,411506958,Aluminiumprofil 45x45L 2N
20102500,PROFIL 45X45L R90° NUT 10 ZUSCHNITT,411992897,Aluminiumprofil 45x45L R
20102501,PROFIL 45X45L R90° NUT 10 LE1X6060,411517200,Aluminiumprofil 45x45L R
20102570,PROFIL 45 R67.5/R112.5 - 30° NUT 10 ZUSCHNITT,411993013,Aluminiumprofil 45x30ï¿½
20102571,PROFIL 45 R67.5/R112.5 - 30° NUT 10 LE1X6060,411524040,Aluminiumprofil 45x30ï¿½
20102590,PROFIL 45 R22.5/R67.5 - 60° NUT 10 ZUSCHNITT,411993015,Aluminiumprofil 45x60ï¿½
20102591,PROFIL 45 R22.5/R67.5 - 60° NUT 10 LE1X6060,411524046,Aluminiumprofil 45x60ï¿½
20102600,"RAHMENPROFIL 22,5X30 ZUSCHNITT",481992493,"Rahmenprofil 22,5x30"
20102601,"RAHMENPROFIL 22,5X30 LE1X6060",481515229,"Rahmenprofil 22,5x30"
20102603,"RAHMENPROFIL 22,5X30 LE1X3060",481515229,"Rahmenprofil 22,5x30"
20102700,PROFIL 15X22.5 NUT 10 ZUSCHNITT,411992473,"Aluminiumprofil 15x22,5"
20102701,PROFIL 15X22.5 NUT 10 LE1X6060,411513576,"Aluminiumprofil 15x22,5"
20102703,PROFIL 15X22.5 NUT 10 LE1X3060,411992473,"Aluminiumprofil 15x22,5"
20102800,PROFIL 22.5X180 NUT 10 ZUSCHNITT,411990345,"Aluminiumprofil 22,5x180"
20102801,PROFIL 22.5X180 NUT 10 LE1X6060,411509179,"Aluminiumprofil 22,5x180"
20102900,"RAHMENPROFIL 22,5X45 ZUSCHNITT",411992411,"Rahmenprofil 22,5x45"
20102901,"RAHMENPROFIL 22,5X45 LE1X6060",411508102,"Rahmenprofil 22,5x45"
20102903,"RAHMENPROFIL 22,5X45 LE1X3060",411992411,"Rahmenprofil 22,5x45"
20103000,PROFIL 45X45 NUT 10 ZUSCHNITT,411990520,Aluminiumprofil 45x45
20103001,PROFIL 45X45 NUT 10 LE1X6060,411509175,Aluminiumprofil 45x45
20103003,PROFIL 45X45 NUT 10 LE1X3060,411990520,Aluminiumprofil 45x45
20103100,"PROFIL 22,5X45 NUT 10 ZUSCHNITT",411990292,"Aluminiumprofil 22,5x45"
20103101,"PROFIL 22,5X45 NUT 10 LE1X6060",411537812,"Aluminiumprofil 22,5x45"
20103300,PROFIL 40X40L R90° NUT 10 ZUSCHNITT,411993184,Aluminiumprofil 40x40L R
20103301,PROFIL 40X40L R90° NUT 10 LE1X6060,411529359,Aluminiumprofil 40x40L R
20103303,PROFIL 40X40L R90° NUT 10 LE1X3060,411993184,Aluminiumprofil 40x40L R
20103800,PROFIL 40X120L NUT 10 ZUSCHNITT,411993139,Aluminiumprofil 40x120L
20103801,PROFIL 40X120L NUT 10 LE1X6060,411537824,Aluminiumprofil 40x120L
20103803,PROFIL 40X120L NUT 10 LE1X3030,411993139,Aluminiumprofil 40x120L
20104000,PROFIL 45X60 NUT 10 ZUSCHNITT,411990570,Aluminiumprofil 45x60
20104001,PROFIL 45X60 NUT 10 LE1X6060,411509184,Aluminiumprofil 45x60
20104400,PROFIL 40X160L NUT 10 ZUSCHNITT,384299314,"Aluminiumprofil 40x160L, Nut 10"
20104401,PROFIL 40X160L NUT 10 LE1X6060,384252934,"Aluminiumprofil 40x160L, Nut 10"
20104500,PROFIL 50X50L NUT 10 ZUSCHNITT,411993156,Aluminiumprofil 50x50L
20104501,PROFIL 50X50L NUT 10 LE1X6060,411529351,Aluminiumprofil 50x50L
