Artikelnummer,Beschreibung,Bild
370270,"SCHRAUBE, LINSENKOPF MIT FLANSCH ÄHNLICH ISO 7380, M8X12",370270.png
370275,"SCHRAUBE, LINSENKOPF MIT FLANSCH ÄHNLICH ISO 7380, M8X14",370275.png
370280,"SCHRAUBE, LINSENKOPF MIT FLANSCH ÄHNLICH ISO 7380, M8X16",370280.png
370305,"BLECHSCHRAUBE 4,2X9,5 STAHL, VERZINKT",370305.png
370330,"KUNSTSTOFFSCHNEIDSCHRAUBE, W1451, 3,5X14, 10.9",370330.png
370335,"KUNSTSTOFFSCHNEIDSCHRAUBE, W1452, 4X18, 10.9",370335.png
370350,"BOHRSCHRAUBE LINSENKOPF DIN 7504, 3.9X16 TX, FORM N",370350.png
370500,KLEMMHEBEL M8X12 MIT AUSRASTKNOPF,370500.png
370505,KLEMMHEBEL M8X16 MIT AUSRASTKNOPF,370505.png
370510,KLEMMHEBEL M8X20 MIT AUSRASTKNOPF,370510.png
370520,KLEMMHEBEL M8X25 MIT AUSRASTKNOPF,370520.png
370530,KLEMMHEBEL M8X40 MIT AUSRASTKNOPF,370530.png
370540,KLEMMHEBEL M8X60 MIT AUSRASTKNOPF,370540.png
401004,ABDECKKAPPE 20X20 NUT 6,401004.png
401005,ABDECKKAPPE 19X30 NUT 8,401005.png
401006,"ABDECKKAPPE 15X30, ESD EINHÄNGEPROFIL",401006.png
401007,ABDECKKAPPE 30X30 WG 30/40 MIT LOCH,401007.png
401008,ABDECKKAPPE 30X30 WG 30/40,401008.png
401010,ABDECKKAPPE 30X30 NUT 8,401010.png
401011,ABDECKKAPPE 30X60 NUT 8,401011.png
401012,"ABDECKKAPPE 30X45 NUT 8, SCHWARZ",401012.png
401013,"ABDECKKAPPE 30X45 NUT 8, GRAU",401013.png
401015,ABDECKKAPPE 40X40 NUT 10,401015.png
401016,ABDECKKAPPE 30X30 NUT 8 MIT LOCH Ø8.5,401016.png
401017,"ABDECKKAPPE 30X50 NUT 8, SCHWARZ",401017.png
401018,ABDECKKAPPE 30X30 R NUT 8,401018.png
401019,"ABDECKKAPPE 30X45 NUT 8/10, SCHWARZ",401019.png
401020,ABDECKKAPPE 45X45 NUT 10,401020.png
401025,ABDECKKAPPE 45X45 R NUT 10,401025.png
401028,"ABDECKKAPPE 22,5X45 NUT 10",401028.png
