neuNr;alteNr;BEZEICHNUNG;Item;2 Bosch;AlvarisArtnr;AlvarisMatnr;ASK
110000588;801101;"Rollenelement mit Rolle H26,;rot Käfig PA6.6GF30~; schwarz~;;inkl. Achse~; Käfig PA6.6GF30~;;schwarz~; inkl. Achse~;";;;;;
110000589;801102;"Rollenelement mit Rolle H26,;gelb Käfig PA6.6GF30~; schwarz~;;inkl. Achse~; Käfig PA6.6GF30~;;schwarz~; inkl. Achse~;";;;;;
110000590;801103;"Rollenelement mit Rolle H26,;grün Käfig PA6.6GF30~; schwarz~;;inkl. Achse~; Käfig PA6.6GF30~;;schwarz~; inkl. Achse~;";;;;;
110000591;801105;"Rollenelement mit Rolle H26,;schwarz ESD Käfig PA6.6CF15~;;schwarz ~; inkl. Achse~; Käfig;PA6.6CF15~; schwarz ESD ~; inkl.";;;;;
110000592;801106;"Rollenelement mit Rolle H26,;grau Käfig PA6.6GF30~; grau~;;inkl. Achse~; Käfig PA6.6GF30~;;grau~; inkl. Achse~; vormontiert";;;;;
110000593;801150;"Rollenelement mit Rolle;schwarz Käfig PA6.6GF30,;schwarz inkl. Achs Käfig;PA6.6GF30, schwarz inkl. Achse";;;;;
110000594;801151;"Rollenelement mit Rolle rot;Käfig PA6.6GF30, schwarz inkl.;Achs Käfig PA6.6GF30, schwarz;inkl. Achse vormontiert";;;;;
110000595;801152;"Rollenelement mit Rolle gelb;Käfig PA6.6GF30, schwarz inkl.;Achse Käfig PA6.6GF30, schwarz;inkl. Achse vormontiert";;;;;
110000596;801153;"Rollenelement mit Rolle grün;Käfig PA6.6GF30, schwarz inkl.;Achse Käfig PA6.6GF30, schwarz;inkl. Achse vormontiert";;;;;
110000597;801155;"Rollenelement mit Rolle;schwarz ESD Käfig PA6.6CF15,;schwarz ESD inkl. Achs;vormontiert";;;;;
110000598;801156;"Rollenelement mit Rolle grau;Käfig PA6.6GF30, grau inkl.;Achse Käfig PA6.6GF30, grau;inkl. Achse vormontiert";;;;;
110000599;801200;"Rollenelement mit Rolle R28~;;Flansch schwarz~; Käfig PA6GF30;schwarz~; inkl. A schwarz~;;Käfig PA6GF30 schwarz~; inkl.";;;;;
110000600;801201;"Rollenelement mit Rolle R28~;;Flansch rot Käfig PA6GF30;schwarz~; inkl. A rot~; Käfig;PA6GF30 schwarz~; inkl. Achse";;;;;
110000601;801202;"Rollenelement mit Rolle R28~;;Flansch gelb~; Käfig PA6GF30;schwarz~; inkl. A gelb~; Käfig;PA6GF30 schwarz~; inkl. Achse";;;;;
110000602;801203;"Rollenelement mit Rolle R28~;;Flansch grün~; Käfig PA6GF30;schwarz~; inkl. A grün~; Käfig;PA6GF30 schwarz~; inkl. Achse";;;;;
110000603;801205;"Rollenelement mit Rolle R28~;;Flansch schwarz ESD: Käfig;PA6.6CF15 inkl. Achse;vormontiert";;;;;
110000604;801206;"Rollenelement mit Rolle R28~;;Flansch grau~; Käfig PA6GF30;grau~; inkl. A grau~; Käfig;PA6GF30 grau~; inkl. Achse";;;;;
110000605;801250;"Rollenelement mit Rolle R9;schwarz, Käfig PA6GF30;schwarz, Achse vormontiert;";;;;;
110000606;801251;"Rollenelement mit Rolle R9;rot, Käfig PA6GF30 schwarz;inkl. Achse vormo Käfig;PA6GF30 schwarz inkl. Achse";;;;;
110000607;801252;"Rollenelement mit Rolle R9;gelb Käfig PA6GF30 schwarz;inkl. Achse vormo Käfig;PA6GF30 schwarz inkl. Achse";;;;;
110000608;801253;"Rollenelement mit Rolle R9;grün Käfig PA6GF30 schwarz;inkl. Achse vormo Käfig;PA6GF30 schwarz inkl. Achse";;;;;
110000609;801255;"Rollenelement mit Rolle R9;schwarz, ESD Käfig PA6CF15;schwarz inkl. Achse vormo;";;;;;
110000610;801256;"Rollenelement mit Rolle R9;grau Käfig PA6GF30 grau inkl.;Achse vormo Käfig PA6GF30 grau;inkl. Achse vormontiert";;;;;
110000611;801300;"Selbstbohrende Schraube;DIN7504 TX20 3,9x16, Material:;Stahl verzinkt;";0.0.642.39;;-;-;
110000612;801310;"Montage Halter AL D28;;;";;;;;
110000613;801311;"Set Montage Halter AL28 inkl.;selbstbohrenden Schrauben;;";;;;;
110000614;801320;"Bremse R28 Material: Edelstahl;;;";0.0.647.76;;-;-;
110000615;801330;"Rücklaufsperre Set ESD Stahl;verzinkt;;";;;;;
110000616;801340;"Bremse H26 Material: Edelstahl;;;";0.0.650.55;;-;-;
110000617;801360;"Gleitleiste PE-HD, ESD;schwarz, 2000mm;;";0.0.620.00;;-;-;
110000618;801370;"Kugelelement mit Kugel;Edelstahl Käfig PA6.6CF15~;;schwarz ESD~; vormontie;";0.0.620.26;;-;-;
110000619;801371;"Bürstenelement mit Bürste PA;ESD Käfig PA6.6CF15~; schwarz;ESD~; vormontie Käfig;PA6.6CF15~; schwarz ESD~;";0.0.622.22;;-;-;
110000622;Z202202201901;"Anschlusskabel;GST18i3 Netzanschlussleitung;Buchse - SchuKo, Länge 9,9m,;3-polig, Kodierung Netz 250V,";92.232.9907.1;;-;-;
110000623;4016322000;"Anschlusskabel G-G 2 m;3 Adriges Verbindungskabel;zwischen Steckdosenleiste;(Serie Step Alu";;;;;
110000624;4016382000;"Anschlusskabel G-G 2,5 m;3 Adriges Verbindungskabel;zwischen Steckdosenleiste;(Serie Step Alu";;;;;
110000625;4016383000;"Anschlusskabel G-G 3 m;3 Adriges Verbindungskabel;zwischen Steckdosenleiste;(Serie Step Alu";;;;;
110000626;4016384000;"Anschlusskabel G-G 4 m;3 Adriges Verbindungskabel;zwischen Steckdosenleiste;(Serie Step Alu";;;;;
110000627;4016387000;"Anschlusskabel S-G 2 m;3 Adriges Verbindungskabel;zwischen Steckdosenleiste;und Leuchtmittel";;;;;
110000628;4016388000;"Anschlusskabel S-G 3 m;3 Adriges Verbindungskabel;zwischen Steckdosenleiste;und Leuchtmittel";;;;;
110000629;4016362000;"Anschlusskabel S-G 4 m;3 Adriges Verbindungskabel;zwischen Steckdosenleiste;und Leuchtmittel";;;;;
110000630;4015546000;"Buchse G-Eingang;GST kompatible;Buchse zur Selbstmontage;Eingangsseitig";;;;;
110000631;4014470000;"Buchse G-Ausgang;GST kompatible;Buchse;Ausgangsseitig";;;;;
110000634;;"APL Universal 1200 VDA 16;basic DIM 65-40-65;Prüf-/Arbeitsleuchte - Modul;gemäß VDA 16";;;;;
110000635;;"APL-I A 1200 basic-line TW DIM;LED Arbeitsplatzleuchte;Maße (LxBxH): 1.186 x 135 x 57;Stufenlos dimmbar über";;;;;
110000636;;"APL-I A 900 basic-line TW DIM;LED Arbeitsplatzleuchte;Maße (LxBxH): 899 x 135 x 57 m;Stufenlos dimmbar über";;;;;
110000637;;"APL Universal 1500 power K;LED Arbeitsplatz-, Maschinen-;Anlagenleuchte ca. 24,3 W;Maße (LxBxH): 1.440x70x80mm";;;;;
110000638;;"APL Universal 1500 basic K;LED Arbeitsplatz-, Maschinen-;und Anlagenleuchte ca. 39,6 W;Maße (LxBxH): 1.440x70x80mm";;;;;
110000640;;"APL Universal 1500 basic APP;Connect remote DIM;LED Arbeitsplatz-, Maschinen-;und Anlagenleuchte";;;;;
110000641;;"APL Easy 600 eco;LED Arbeitsplatz-, Maschinen-;und Anlagenleuchte;Maße (LxBxH): 576x52x65 mm";;;;;
110000644;;"Verbindungsplatte 40x120, mit;3 Bohrungen 8,5mm, alufarbig,;pulverbeschichtet,;Material: Stahl";;;;;
110000645;;"80 Teller für Gelenkstellfüße;Kugel 15 Material: Kunststoff,;PA, schwarz ähnlich RAL 9005,;ESD, mit Anschraubbohrungen";;;;;
110000646;;"Verbindungsplatte 30x60, mit;2 Bohrungen 6,6mm, alufarbig,;pulverbeschichtet,;Senkkopf, Material: Stahl";;;;;
120000001;181120400;"Aluminiumprofil X 120x40L;Nut 8;4 St. x 6000mm;";0.0.656.62;;-;-;
120000005;181120409;"Aluminiumprofil X 120x40L;Nut 8;;";0.0.656.62;;-;-;
120000006;181404030;"Aluminiumprofil X 40x40;Nut 8;8 St. x 6000mm;";0.0.649.50;;-;-;
120000010;181804010;"Aluminiumprofil X 80x40L 2N;Nut 8;8 St. x 6000mm;";0.0.649.20;;-;-;
120000014;181804020;"Aluminiumprofil X 80x40 2N K15;Nut 8;8 St. x 6000mm;";0.0.643.06;;-;-;
120000018;181804030;"Aluminiumprofil X 80x40 1N;Nut 8;8 St. x 6000mm;";0.0.649.19;;-;-;
120000022;181808010;"Aluminiumprofil X 80x80 4N90;Nut 8;4 St. x 6000mm;";0.0.649.22;;-;-;
120000026;181808019;"Aluminiumprofil X 80x80 4N90;Nut 8;;";0.0.649.22;;-;-;
120000027;201010003;"Scheibendichtung 2-4/4-6 N8/10;Schwarz ( Material: Kunststoff;TPE Abnahmemenge: pro Meter;Bestellmenge am Stück: Max.";0.0.436.88;;-;-;
120000028;201010004;"Scheibendichtung Nut8 2-4mm;Nut10 4 mm Material:;Kunststoff TPE Abnahmemenge:;pro Meter Bestellmenge am";0.0.436.85;;1010097;DIC24;
120000029;201010005;"Scheibendichtung Nut8 2-4mm;Nut10 4 mm Material:;Kunststoff TPE Abnahmemenge;pro Meter VE = 100 Meter";0.0.489.91;;-;-;
120000030;201032100;"Abdeckprofil 32, Nut 8 10 St.;x 3000 mm;;";0.0.452.01;;-;-;
120000034;201080000;"Wandprofil 80;;10 St. x 3000mm;";0.0.453.65;;-;-;
120000038;201080999;"Wandprofil 80;;;";0.0.453.65;;-;-;
120000039;201120000;"Wandprofil 120;;10 St. x 3000mm;";0.0.453.66;;-;-;
120000043;201120120;"Abdeckkappe für Kabelkanal;120x120 Anschraublöcher d=5mm;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.418.33;;-;-;
120000044;201120160;"Abdeckkappe für Kabelkanal;120x160 Anschraublöcher d=5mm;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.411.35;;-;-;
120000045;201120999;"Wandprofil 120;;;";0.0.453.55;;-;-;
120000046;201220000;"Trägerprofil 120;ohne Nut;10 St. x 3000mm;";0.0.418.47;;-;-;
120000050;201220999;"Trägerprofil 120;ohne Nut;;";0.0.453.55;;-;-;
120000051;201260000;"Trägerprofil 160;ohne Nut;10 St. x 3000mm;";0.0.265.84;;-;-;
120000055;201260999;"Trägerprofil 160;ohne Nut;;";0.0.453.57;;-;-;
120000056;201280000;"Trägerprofil 80;ohne Nut;10 St. x 3000mm;";0.0.453.52;;-;-;
120000060;201280999;"Trägerprofil 80;ohne Nut;;";0.0.453.52;;-;-;
120000061;201285000;"Trägerprofil 80;Nut 8;10 St. x 3000mm;";0.0.196.40;;-;-;
120000065;201285999;"Trägerprofil 80;Nut 8;;";0.0.453.53;;-;-;
120000066;201300000;"Kanaldeckel 30;;16 St. x 3000mm;";0.0.451.42;;-;-;
120000070;201300999;"Kanaldeckel 30;;;";0.0.451.42;;-;-;
120000071;201303000;"Kabelkanal 30x30E;;16 St. x 3000mm;";0.0.451.44;;-;-;
120000075;201303999;"Kabelkanal 30x30E;;;";0.0.451.44;;-;-;
120000076;201400000;"Kanaldeckel 40;;12 St. x 3000mm;";0.0.452.09;;-;-;
120000080;201400100;"Verbindungsprofil 40;Nut 8 6 St. x 6000 mm;;";0.0.453.90;;-;-;
120000084;201400999;"Kanaldeckel 40;;;";0.0.452.09;;-;-;
120000085;201401200;"Abdeckkappe für Kabelkanal;40x120 Kunststoff PA, schwarz;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.411.33;;-;-;
120000086;201401600;"Abdeckkappe für Kabelkanal;40x160 Kunststoff PA, schwarz;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.364.81;;-;-;
120000087;201402000;"Kabelkanal 40x20;;12 St. x 3000mm;";0.0.452.19;;-;-;
120000091;201402999;"Kabelkanal 40x20;;;";0.0.452.19;;-;-;
120000092;201404000;"Kabelkanal 40x40;;12 St. x 3000mm;";0.0.487.28;;-;-;
120000096;201404010;"Abdeckkappe für Kabelkanal;40x40 Kunststoff PA, schwarz;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.196.88;;-;-;
120000097;201404020;"Durchführung Wand 40;Kunststoff PA, schwarz;;";0.0.479.74;;-;-;
120000098;201404999;"Kabelkanal 40x40;;;";0.0.487.28;;-;-;
120000099;201408000;"Kabelkanal 80x40;;8 St. x 3000mm;";0.0.487.43;;-;-;
120000103;201408010;"Abdeckkappe für Kabelkanal;40x80 Kunststoff PA, schwarz;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.196.89;;-;-;
120000104;201408999;"Kabelkanal 80x40;;;";0.0.487.43;;-;-;
120000105;201414000;"Kabelkanal 40x40E;;12 St. x 3000mm;";0.0.452.20;;-;-;
120000109;201414999;"Kabelkanal 40x40E;;;";0.0.452.20;;-;-;
120000110;201418000;"Kabelkanal 40x80E;;12 St. x 3000mm;";7.0.002.79;;-;-;
120000114;201418999;"Kabelkanal 40x80E;;;";7.0.002.79;;-;-;
120000115;201428000;"Kabelkanal 80x40E;;8 St. x 3000mm;";7.0.002.80;;-;-;
120000116;201428999;"Kabelkanal 80x40E;;;";7.0.002.80;;-;-;
120000117;201500000;"Rohr D50 AL 9 St. x 6000 mm;;;";0.0.453.46;;-;-;
120000121;201600000;"Kanaldeckel 60;;8 St. x 3000mm;";0.0.451.43;;-;-;
120000125;201600100;"Abdeckprofil 60, Nut 8 10 St.;x 3000 mm;;";0.0.452.02;;-;-;
120000129;201600999;"Kanaldeckel 60;;;";0.0.451.43;;-;-;
120000130;201606000;"Kabelkanal 60x60;;8 St. x 3000mm;";0.0.487.37;;-;-;
120000134;201606999;"Kabelkanal 60x60;;;";0.0.487.37;;-;-;
120000135;201616000;"Kabelkanal 60x60E;;16 St. x 3000mm;";0.0.451.45;;-;-;
120000139;201616999;"Kabelkanal 60x60E;;;";0.0.451.45;;-;-;
120000140;201800000;"Kanaldeckel 80;;8 St. x 3000mm;";7.0.002.77;;-;-;
120000144;201800999;"Kanaldeckel 80;;;";7.0.002.77;;-;-;
120000145;201801200;"Abdeckkappe für Kabelkanal;80x120 Kunststoff PA, schwarz;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.411.34;;-;-;
120000146;201801600;"Abdeckkappe für Kabelkanal;80x160 Kunststoff PA, schwarz;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.265.97;;-;-;
120000147;201804100;"Kabelkanal 40x80;;12 St. x 3000mm;";0.0.487.40;;-;-;
120000151;201804199;"Kabelkanal 40x80;;;";0.0.487.40;;-;-;
120000152;201808000;"Kabelkanal 80x80;;8 St. x 3000mm;";0.0.487.46;;-;-;
120000156;201808010;"Abdeckkappe für Kabelkanal;80x80 Kunststoff PA, schwarz;Schrauben bauseits Empfohlene;Schraube: Blechschraube";0.0.196.90;;-;-;
120000157;201808020;"Durchführung Wand 80;Kunststoff PA, schwarz;;";0.0.479.75;;-;-;
120000158;201808045;"Abdeckkappe für Kabelkanal;80x80 45° Material: Kunststoff;PA schwarz;";0.0.406.68;;-;-;
120000159;201808999;"Kabelkanal 80x80;;;";0.0.487.46;;-;-;
120000160;201818000;"Kabelkanal 80x80E;;8 St. x 3000mm;";7.0.002.78;;-;-;
120000161;201818999;"Kabelkanal 80x80E;;;";7.0.002.78;;-;-;
120000162;202200200;"Endschalter 6,5 mm Material:;Kunststoff PA glasfaserverst.;Sensorhalter, Bohrung 6,5;";0.0.406.40;;-;-;
120000163;202200201;"Endschalter 8,0 mm Material:;Kunststoff PA glasfaserverst.;;";0.0.406.41;;-;-;
120000164;202200202;"Endschalter 12,0 mm Material:;Kunststoff PA glasfaserverst.;;";0.0.406.42;;-;-;
120000165;202200203;"Endschalter D 18,0 mm;Material: Kunststoff PA;glasfaserverst.;";0.0.411.30;;-;-;
120000166;202200204;"Endschalter D 20,0 mm;Material: Kunststoff PA;glasfaserverst.;";0.0.411.31;;-;-;
120000167;202300104;"Winkel 60x60 Nut 6 und 12;Material: Zinkdruckguss blank;;";0.0.003.20;;-;-;
120000168;202300115;"Winkel 60x60 Nut 6, Inkl.;Befestigung und Abdeckkappe;Winkel: Zinkdruckguss blank;Abdeckkappe: PA schwarz";0.0.419.68;;-;-;
120000169;202300205;"Winkel 60x60 Nut 6 silber;pulverbeschich inkl.;Befestigung und Abdeckkappe;Winkel: Zinkdruckguss";;;;;
120000170;202311001;"Gelenkwinkel 30~; ESD Material:;Zinkdruckguss blank;;";0.0.441.97;;-;-;
120000171;202311002;"Gelenkwinkel 40~; ESD~;;Material: Zinkdruckguss blank;;";0.0.457.76;;1030014;GELSTZ;
120000172;202311003;"Gelenkwinkel 30~; Material:;Zinkdruckg. alufarbig;alufarbig;oberflächenbeschichtet";0.0.441.97;;-;-;
120000173;202311004;"Gelenkwinkel 40~; Material:;Zinkdruckg. alufarbig;alufarbig;oberflächenbeschichtet";0.0.457.76;;1030014;GELSTZ;
120000174;202311005;"Gelenkwinkel 40~; inkl. 2;Schrauben ISO 7380 M8x18~; 2;Scheiben DIN125 2 x Nutenstein;M8 Material: Zinkdruckg.";0.0.457.76;;1030014;GELSTZ;
120000175;202350100;"Befestigungswinkel 40x40x20;Material: Zinkdruckguss;schwarz;";0.0.474.60;;-;-;
120000176;202350101;"Befestigungswinkel 60x40x20;Material: Zinkdruckguss;schwarz;";0.0.474.61;;-;-;
120000177;202350102;"Befestigungswinkel 60x60x20;Material: Zinkdruckguss;schwarz;";0.0.474.62;;-;-;
120000178;202350103;"Befestigungswinkel 80x40x20;Material: Zinkdruckguss;schwarz;";0.0.474.63;;-;-;
120000179;202350400;"Anschlagpuffer M4 D15x15;Material: NBR, schwarz;;";0.0.416.33;;-;-;
120000180;202350401;"Anschlagpuffer M6 D20x15;Material: NBR, schwarz;;";0.0.416.35;;-;-;
120000181;202350402;"Anschlagpuffer M8 D30x30;Material: NBR, schwarz;;";0.0.416.37;;-;-;
120000182;202350403;"Parabel-Feder M8 D30x36;Material: NBR, schwarz;;";0.0.416.39;;-;-;
120000183;202350404;"Parabel-Feder M10 D50x58;Material: NBR, schwarz;;";0.0.416.41;;-;-;
120000184;202350405;"Parabel-Feder M12 D75x89;Material: NBR, schwarz;;";0.0.416.43;;-;-;
120000185;202500100;"Profil M W40x40x4E~; L= 2000 mm;Aluminium eloxiert;;";7.0.002.70;;-;-;
120000186;202500102;"Profil M W80x80x8E~; L= 2000 mm;Aluminium eloxiert;;";7.0.002.72;;-;-;
120000187;202528700;"Schraubendrehereinsatz SW5;""1/4"""" Chrom-Vanadium-Stahl,"";matt verchromt;";0.0.644.68;;-;-;
120000188;202528800;"Sicherheits-Winkelschraubendre;hersatz SW1,5-6~;;Farbcodierung: Rainbow;";0.0.627.48;;-;-;
120000189;202528900;"Allzweckschere Länge 200 mm;;;";0.0.265.63;;-;-;
120000190;202535640;"Aluminium Kombischarnier 30x30;Material: Alu Druckguss,;vernickelt Empfohlene;Schrauben: DIN7991";;;;;
120000191;202535644;"Aluminium Kombischarnier 40x40;Material: Alu Druckguss,;vernickelt Empfohlene;Schrauben: DIN7991 M6x16";;;;;
120000192;202535646;"Aluminium Kombischarnier 50x50;Material: Alu Druckguss,;vernickelt Empfohlene;Schrauben: DIN7991 M6x16";;;;;
120000193;202535648;"Aluminium Kombischarnier 60x60;Material: Alu Druckguss,;vernickelt Empfohlene;Schrauben: DIN7991 M6x16";;;;;
120000194;202600013;"Kunststoffscharnier doppelt~;;aushängbar Nut 8~;;40x40x40;Kunststoff PA glasfaser";0.0.373.42;;1010472;SCHPADOP;
120000195;202600014;"Kunststoffscharnier 20x20 Mini;Nut 5 FAmax(N): 240~; FRmax(N):;300 Material: Flügel:;Kunststoff PA~;";0.0.370.18;;1028413;SCH5.PALOC20;
120000196;202600015;"Innenliegendes Scharnier;Flügel 20 Material: Aluminium;eloxiert Empfohlene Schrauben:;DIN7991 M6x10 (bauseits)";;;;;
120000197;202600016;"Innenliegendes Scharnier;Flügel 25 Material: Aluminium;eloxiert Empfohlene Schrauben:;DIN7991 M6x10 (bauseits)";;;;;
120000198;202600017;"Innenliegendes Scharnier;Flügel 30 Material: Aluminium;eloxiert Empfohlene Schrauben:;DIN7991 M6x12 (bauseits)";;;;;
120000199;202600018;"Innenliegendes Scharnier;Flügel 40 Material: Aluminium;eloxiert Empfohlene Schrauben:;DIN7991 M6x16(bauseits)";;;;;
120000200;202600019;"Innenliegendes Scharnier;Flügel 45 Material: Aluminium;eloxiert Empfohlene Schrauben:;DIN7991 M6x16(bauseits)";;;;;
120000201;202600020;"Innenliegendes Scharnier;Flügel 50 Material: Aluminium;eloxiert Empfohlene Schrauben:;DIN7991 M6x16(bauseits)";;;;;
120000202;202600021;"Innenliegendes Scharnier;Flügel 60 Material: Aluminium;eloxiert Empfohlene Schrauben:;DIN7991 M6x16(bauseits)";;;;;
120000203;202600022;"Achse für Innenliegendes;Scharnier, Material: Edelstahl;;";;;;;
120000204;202600023;"Abdeckkappe für Innenliegendes;Scharnie Material: Kunststoff;PA Farbe: RAL9006;weißaluminium";;;;;
120000205;202600024;"Metallscharnier leicht~;;nut 5,6 und 8 nicht aushängbar;Material:;stahl schwarz pulverbesch.";0.0.373.82;;1010490;SCHST;
120000206;202600030;"Aluminium Scharnier 40x40;leicht Alu-Druckguss~; inkl.;Befestigung ESD fähig;";0.0.488.94;;1011014;SCH8.ALPP4L;
120000207;202600031;"Abdeckkappe für Aluscharnier;Al Material: Kunststoff;ähnlich RAL9006 weißaluminium;";;;;;
120000208;202652021;"Automatikverbinder Nut12,;inkl. Nutenstein mit Steg;Material: stahl verzinkt;";0.0.003.50;;-;-;
120000209;203500300;"Transport- und Fußplatte;30x60mm D=7 (M6) Gewinde M10,;Material: Zinkdruckguss blank;";0.0.439.16;;1010136;FUS8.6030M10;
120000210;203500301;"Transport- und Fußplatte;30x60mm D=7 (M6) Gewinde M12;Material: Zinkdruckguss blank;";0.0.431.06;;1010137;FUS8.6030M12;
120000211;203500302;"Transport- und Fußplatte 30x60;D=7 (M6) Gewinde M16 Material:;Zinkdruckguss blank;";0.0.431.07;;-;-;
120000212;203500303;"Transport- und Fußplatte 40x40;Nut 5 D=5,5 (M5) Gewinde M8;Material: Zinkdruckguss blank;";0.0.437.59;;-;-;
120000213;203500304;"Transport- und Fußplatte 40x40;Nut 5 D=5,5 (M5) Gewinde M10;Material: Zinkdruckguss blank;";0.0.437.60;;-;-;
120000214;203500305;"Transport- und Fußplatte 40x40;Nut 5 D=5,5 (M5) Gewinde M12;Material: Zinkdruckguss blank;";0.0.437.61;;-;-;
120000215;203500306;"Transport- und Fußplatte 40x80;D=9 (M8) Gewinde M10 Material:;Zinkdruckguss blank;";0.0.440.71;;1010140;FUS8040M10;
120000216;203500307;"Transport- und Fußplatte 40x80;D=9 (M8) Gewinde M12 Maetrial:;Zinkdruckguss blank;";0.0.406.32;;1010141;FUS8040M12;
120000217;203500308;"Transport- und Fußplatte 40x80;D=9 (M8) Gewinde M16 Material:;Zinkdruckguss blank;";0.0.406.33;;1010143;FUS8040M16;
120000218;203500309;"Transport- und Fußplatte 60x60;D=7 (M6) Gewinde M10 Material:;Zinkdruckguss blank;";0.0.439.15;;1010138;FUS8.6060M10;
120000219;203500310;"Transport- und Fußplatte 60x60;D=7 (M6) Gewinde M12 Material:;Zinkdruckguss blank;";0.0.431.08;;1010139;FUS8.6060M12;
120000220;203500311;"Transport- und Fußplatte 60x60;D=7 (M6) Gewinde M16 Material;Zinkdruckguss blank;";0.0.431.09;;-;-;
120000221;203500312;"Transport- und Fußplatte 80x80;D=9 (M8) Gewinde M10 Material:;Zinkdruckguss blank;";0.0.440.72;;1010147;FUS8080M10;
120000222;203500313;"Transport- und Fußplatte 80x80;D=9 (M8) Gewinde M12 Material:;Zinkdruckguss blank;Befestigungslöcher für";0.0.406.22;;1010148;FUS8080M12;
120000223;203500314;"Transport- und Fußplatte 80x80;D=9 (M8) Gewinde M16 Material:;Zinkdruckguss blank;";0.0.406.23;;1010149;FUS8080M16;
120000224;203500315;"Transport- und Fußplatte 80x80;D=9 (M8) Gewinde M20 Material:;Zinkdruckguss blank;";0.0.406.24;;-;-;
120000225;203500316;"Transport- und Fußplatte;50x100 M12 Zn Zinkdruckguss;blak Zinkdruckguss blank;";0.0.625.15;;-;-;
120000226;203500317;"Transport- und Fußplatte;50x100 M16 Zn Zinkdruckguss;blak Zinkdruckguss blank;";0.0.625.16;;-;-;
120000227;203500350;"Transport- und Fußplatte;40x80mm D=7 (M8) Gewinde M8;Material. Zinkdruckguss;verzinkt";;;;;
120000228;203500400;"Transport- und Fußplatte;30x60mm, D=7 (M6) Gewinde M10,;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.439.16;;1010136;FUS8.6030M10;
120000229;203500401;"Transport- und Fußplatte;30x60mm D=7 (M6) Gewinde M12;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.431.06;;1010137;FUS8.6030M12;
120000230;203500402;"Transport- und Fußplatte;30x60mm D=7 (M6) Gewinde M16;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.431.07;;-;-;
120000231;203500403;"Transport- und Fußplatte;40x40mm Nut 5 D=5,5 (M5);Gewinde M8 Material.;Zinkdruckguss schwarz";0.0.437.59;;-;-;
120000232;203500404;"Transport- und Fußplatte;40x40mm Nut 5 D=5,5 (M5);Gewinde M10 Material.;Zinkdruckguss schwarz";0.0.437.60;;-;-;
120000233;203500405;"Transport- und Fußplatte;40x40mm Nut 5 D=5,5 (M5);Gewinde M12 Material.;Zinkdruckguss schwarz";0.0.437.61;;-;-;
120000234;203500406;"Transport- und Fußplatte;40x80mm D=9 (M8) Gewinde M10;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.440.71;;1010140;FUS8040M10;
120000235;203500407;"Transport- und Fußplatte;40x80mm D=9 (M8) Gewinde M12;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.406.32;;1010141;FUS8040M12;
120000236;203500408;"Transport- und Fußplatte;40x80mm D=9 (M8) Gewinde M16;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.406.33;;1010143;FUS8040M16;
120000237;203500409;"Transport- und Fußplatte;60x60mm D=7 (M6) Gewinde M10;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.439.15;;1010138;FUS8.6060M10;
120000238;203500410;"Transport- und Fußplatte;60x60mm D=7 (M6) Gewinde M12;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.431.08;;1010139;FUS8.6060M12;
120000239;203500411;"Transport- und Fußplatte;60x60mm D=7 (M6) Gewinde M16;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.431.09;;-;-;
120000240;203500412;"Transport- und Fußplatte;80x80mm D=9 (M8) Gewinde M10;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.440.72;;1010147;FUS8080M10;
120000241;203500413;"Transport- und Fußplatte;80x80mm D=9 (M8) Gewinde M12;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.406.22;;1010148;FUS8080M12;
120000242;203500414;"Transport- und Fußplatte;80x80mm D=9 (M8) Gewinde M16;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.406.23;;1010149;FUS8080M16;
120000243;203500415;"Transport- und Fußplatte;80x80mm D=9 (M8) Gewinde M20;Material. Zinkdruckguss;schwarz pulverbeschichtet";0.0.406.24;;-;-;
120000244;203500416;"Transport- und Fußplatte;50x100 M12 Zn Zinkdruckguss;schwarz pulverbeschichtet;Zinkdruckguss schwarz";0.0.625.15;;-;-;
120000245;203500417;"Transport- und Fußplatte;50x100 M16 Zn Zinkdruckguss;schwarz pulverbeschichtet;Zinkdruckguss schwarz";0.0.625.16;;-;-;
