neuNr;alteNr;BEZEICHNUNG;Item;2 Bosch;AlvarisArtnr;AlvarisMatnr;ASK
110000093;402150203;"Senkschraube DIN 7991 mit;Innensechskant M6x16,;Material: Stahl verzinkt;";0.0.601.24;;-;-;
110000094;402150204;"Senkschraube Innensechskant;8.8 M8x14 Material: Stahl;verzinkt, DIN 7991;";0.0.618.92;;-;-;
110000095;402150205;"Senkschraube DIN 7991 mit;Innensechskant M5x8, Material:;Stahl verzinkt;";0.0.600.88;;-;-;
110000096;402150207;"Senkschraube DIN 7991 mit;Innensechskant M5x10 Material:;Stahl verzinkt;";8.0.001.84;;-;-;
110000097;402150208;"Senkschraube DIN 7991 mit;Innensechskant M6x20 Material:;Stahl verzinkt M6x20;";8.0.000.81;;-;-;
110000098;402150209;"Senkschraube DIN 7991 mit;Innensechskant M8x16,;Material: Stahl verzinkt;";8.0.001.09;;-;-;
110000099;402150220;"Senkschraube DIN 7991 mit;Innensechskant M8x14,;Material: Stahl schwarz blank;";8.0.007.07;;-;-;
110000100;402150221;"Senkschraube DIN 7991 mit;Innensechskant M8x16,;Material: Stahl schwarz blank;";;;;;
110000101;402150225;"Senkschraube mit;Innensechskant DIN7991 M4x8;verzinkt;";8.0.006.59;;-;-;
110000102;402150226;"Senkschraube mit;Innensechskant DIN7991 M4x10;vz. DIN7991 (ISO10642);";0.0.639.56;;-;-;
110000103;402150227;"Senkschraube mit;Innensechskant DIN7991 M4x12;verzinkt;";8.0.006.62;;-;-;
110000104;402150228;"Senkschraube mit;Innensechskant DIN7991 M4x14;verzinkt;";8.0.006.87;;-;-;
110000105;402150229;"Senkschraube mit;Innensechskant DIN7991 M4x16;verzinkt;";8.0.007.70;;-;-;
110000106;402150230;"Senkschraube mit;Innensechskant DIN7991 M4x18;verzinkt;";0.0.649.57;;-;-;
110000107;402150231;"Senkschraube mit;Innensechskant DIN7991 M4x20;verzinkt;";8.0.005.79;;-;-;
110000108;402150232;"Senkschraube mit;Innensechskant DIN7991 M4x25;verzinkt;";0.0.656.01;;-;-;
110000109;402150233;"Senkschraube mit;Innensechskant DIN7991 M4x30;verzinkt;";0.0.656.02;;-;-;
110000110;402150234;"Senkschraube mit;Innensechskant DIN7991 M5x12;verzinkt;";8.0.000.75;;-;-;
110000111;402150235;"Senkschraube mit;innensechskant DIN7991 M5x14;verzinkt;";0.0.601.31;;-;-;
110000112;402150236;"Senkschraube mit;Innensechskant DIN7991 M5x16;verzinkt;";8.0.001.32;;-;-;
110000113;402150237;"Senkschraube mit;Innensechskant DIN7991 M5x18;verzinkt;";8.0.008.98;;-;-;
110000114;402150238;"Senkschraube mit;Innensechskant DIN7991 M5x20;verzinkt;";0.0.600.29;;-;-;
110000115;402150239;"Senkschraube mit;Innensechskant DIN7991 M5x22;verzinkt;";0.0.656.04;;-;-;
110000116;402150240;"Senkschraube mit;Innensechskant DIN7991 M5x25;verzinkt;";0.0.606.35;;-;-;
110000117;402150241;"Senkschraube mit;Innensechskant DIN7991 M5x30;verzinkt;";8.0.001.18;;-;-;
110000118;402150242;"Senkschraube mit;Innensechskant DIN7991 M5x35;verzinkt;";8.0.007.88;;-;-;
